Day,Time,Supplier,Value
4,21,2,10000
4,21,3,10000
4,21,4,0
4,21,5,0
4,21,6,0
4,22,1,9762.025951518
4,22,2,10000
4,22,3,10000
4,22,4,0
4,22,5,0
4,22,6,0
4,23,1,9762.025951518
4,23,2,10000
4,23,3,10000
4,23,4,0
4,23,5,0
4,23,6,0
4,24,1,10000
4,24,2,10000
4,24,3,10000
4,24,4,0
4,24,5,0
4,24,6,0
5,1,1,9659.310592176
5,1,2,10000
5,1,3,10000
5,1,4,0
5,1,5,0
5,1,6,0
5,2,1,9425.170694881
5,2,2,9823.184957937
5,2,3,10000
5,2,4,0
5,2,5,1.196703555e-13
5,2,6,0
5,3,1,9425.170694881
5,3,2,9823.184957937
5,3,3,10000
5,3,4,0
5,3,5,1.196703555e-13
5,3,6,0
5,4,1,9425.170694881
5,4,2,8854.832446682
5,4,3,10000
5,4,4,0
5,4,5,1.196703555e-13
5,4,6,0
5,5,1,9425.170694881
5,5,2,8854.832446682
5,5,3,10000
5,5,4,0
5,5,5,1.196703555e-13
5,5,6,0
5,6,1,9372.756238529
5,6,2,8854.832446682
5,6,3,10000
5,6,4,0
5,6,5,1.196703555e-13
5,6,6,0
5,7,1,8368.421052632
5,7,2,8854.832446682
5,7,3,10000
5,7,4,0
5,7,5,0
5,7,6,0
5,8,1,8368.421052632
5,8,2,8854.832446682
5,8,3,10000
5,8,4,0
5,8,5,0
5,8,6,0
5,9,1,8368.421052632
5,9,2,8546.504531422
5,9,3,9031.863931353
5,9,4,0
5,9,5,0
5,9,6,0
5,10,1,8368.421052632
5,10,2,8546.504531422
5,10,3,8368.421052632
5,10,4,0
5,10,5,0
5,10,6,0
5,11,1,7315.789473684
5,11,2,8139.623904613
5,11,3,7315.789473684
5,11,4,0
5,11,5,0
5,11,6,0
5,12,1,7315.789473684
5,12,2,8139.623904613
5,12,3,7315.789473684
5,12,4,0
5,12,5,0
5,12,6,0
5,13,1,7315.789473684
5,13,2,7315.789473684
5,13,3,7315.789473684
5,13,4,0
5,13,5,0
5,13,6,0
5,14,1,6263.157894737
5,14,2,6263.157894737
5,14,3,6263.157894737
5,14,4,0
5,14,5,0
5,14,6,0
5,15,1,5210.526315789
5,15,2,5210.526315789
5,15,3,5210.526315789
5,15,4,0
5,15,5,0
5,15,6,0
5,16,1,4157.894736842
5,16,2,4157.894736842
5,16,3,4157.894736842
5,16,4,0
5,16,5,0
5,16,6,0
5,17,1,3105.263157895
5,17,2,3105.263157895
5,17,3,3105.263157895
5,17,4,0
5,17,5,0
5,17,6,0
5,18,1,2052.631578947
5,18,2,2052.631578947
5,18,3,2052.631578947
5,18,4,0
5,18,5,0
5,18,6,0
5,19,1,1000
5,19,2,1000
5,19,3,1000
5,19,4,0
5,19,5,0
5,19,6,0
5,20,1,487.179487179
5,20,2,487.179487179
5,20,3,487.179487179
5,20,4,0
5,20,5,0
5,20,6,0
5,21,1,237.343852728
5,21,2,237.343852728
5,21,3,237.343852728
5,21,4,0
5,21,5,0
5,21,6,0
5,22,1,136.515477867
5,22,2,115.629056457
5,22,3,115.629056457
5,22,4,0
5,22,5,0
5,22,6,0
5,23,1,136.515477867
5,23,2,115.629056457
5,23,3,115.629056457
5,23,4,0
5,23,5,0
5,23,6,0
5,24,1,136.515477867
5,24,2,115.629056457
5,24,3,115.629056457
5,24,4,0
5,24,5,0
5,24,6,0
6,1,1,136.515477867
6,1,2,115.629056457
6,1,3,115.629056457
6,1,4,0
6,1,5,0
6,1,6,0
6,2,1,136.515477867
6,2,2,115.629056457
6,2,3,115.629056457
6,2,4,0
6,2,5,0
6,2,6,0
6,3,1,136.515477867
6,3,2,115.629056457
6,3,3,129.693165864
6,3,4,0
6,3,5,0
6,3,6,0
6,4,1,136.515477867
6,4,2,115.629056457
6,4,3,129.693165864
6,4,4,0
6,4,5,0
6,4,6,0
6,5,1,136.515477867
6,5,2,115.629056457
6,5,3,129.693165864
6,5,4,0
6,5,5,0
6,5,6,0
6,6,1,136.515477867
6,6,2,115.629056457
6,6,3,129.693165864
6,6,4,0
6,6,5,0
6,6,6,0
6,7,1,136.515477867
6,7,2,115.629056457
6,7,3,129.693165864
6,7,4,0
6,7,5,0
6,7,6,0
6,8,1,136.515477867
6,8,2,115.629056457
6,8,3,129.693165864
6,8,4,0
6,8,5,0
6,8,6,0
6,9,1,288.515477867
6,9,2,1065.629056457
6,9,3,1079.693165864
6,9,4,0
6,9,5,0
6,9,6,0
6,10,1,440.515477867
6,10,2,2015.629056457
6,10,3,2029.693165864
6,10,4,0
6,10,5,0
6,10,6,0
6,11,1,592.515477867
6,11,2,2965.629056457
6,11,3,2979.693165864
6,11,4,0
6,11,5,0
6,11,6,0
6,12,1,1542.515477867
6,12,2,3915.629056457
6,12,3,3131.693165864
6,12,4,0
6,12,5,0
6,12,6,0
6,13,1,2492.515477867
6,13,2,4205.767640037
6,13,3,3943.554582285
6,13,4,0
6,13,5,0
6,13,6,0
6,14,1,2644.515477867
6,14,2,5155.767640037
6,14,3,4893.554582285
6,14,4,0
6,14,5,0
6,14,6,0
6,15,1,3105.098113734
6,15,2,5797.18500417
6,15,3,5843.554582285
6,15,4,0
6,15,5,0
6,15,6,0
6,16,1,4055.098113734
6,16,2,5949.18500417
6,16,3,6793.554582285
6,16,4,0
6,16,5,0
6,16,6,0
6,17,1,5005.098113734
