Stage,Day,Time,Supplier,Scenario,Value
1,1,23,5,4,0
1,1,23,6,1,7077.155022618
1,1,23,6,2,0
1,1,23,6,3,7315.361008576
1,1,23,6,4,0
1,1,24,1,1,4437.320503567
1,1,24,1,2,6940.024904875
1,1,24,1,3,3306
1,1,24,1,4,5696.832641395
1,1,24,2,1,836.326133815
1,1,24,2,2,7230.282425802
1,1,24,2,3,3640.651866575
1,1,24,2,4,6802
1,1,24,3,1,4509.198789514
1,1,24,3,2,6664.323556165
1,1,24,3,3,4835.645613814
1,1,24,3,4,4231.798245447
1,1,24,4,1,3451.073366151
1,1,24,4,2,0
1,1,24,4,3,4871.348133425
1,1,24,4,4,0
1,1,24,5,1,6082.965918671
1,1,24,5,2,0
1,1,24,5,3,950
1,1,24,5,4,0
1,1,24,6,1,7194.900609334
1,1,24,6,2,0
1,1,24,6,3,7334.985273028
1,1,24,6,4,0
1,2,1,1,1,4437.320503567
1,2,1,1,2,6940.024904875
1,2,1,1,3,3306
1,2,1,1,4,5706.566410149
1,2,1,2,1,836.326133815
1,2,1,2,2,7230.282425802
1,2,1,2,3,3640.651866575
1,2,1,2,4,6802
1,2,1,3,1,4509.198789514
1,2,1,3,2,6664.323556165
1,2,1,3,3,4835.645613814
1,2,1,3,4,4231.798245447
1,2,1,4,1,3451.073366151
1,2,1,4,2,0
1,2,1,4,3,4871.348133425
1,2,1,4,4,0
1,2,1,5,1,6082.965918671
1,2,1,5,2,0
1,2,1,5,3,950
1,2,1,5,4,0
1,2,1,6,1,7194.900609334
1,2,1,6,2,0
1,2,1,6,3,7344.719041783
1,2,1,6,4,0
1,2,2,1,1,4437.320503567
1,2,2,1,2,6940.024904875
1,2,2,1,3,3306
1,2,2,1,4,5706.566410149
1,2,2,2,1,836.326133815
1,2,2,2,2,7230.282425802
1,2,2,2,3,3640.651866575
1,2,2,2,4,6802
1,2,2,3,1,4509.198789514
1,2,2,3,2,6664.323556165
1,2,2,3,3,4835.645613814
1,2,2,3,4,4237.527992023
1,2,2,4,1,3451.073366151
1,2,2,4,2,0
1,2,2,4,3,4871.348133425
1,2,2,4,4,0
1,2,2,5,1,6082.965918671
1,2,2,5,2,0
1,2,2,5,3,950
1,2,2,5,4,0
1,2,2,6,1,7194.900609334
1,2,2,6,2,0
1,2,2,6,3,7350.448788358
1,2,2,6,4,0
1,2,3,1,1,4437.320503567
1,2,3,1,2,6940.024904875
1,2,3,1,3,3306
1,2,3,1,4,5706.566410149
1,2,3,2,1,836.326133815
1,2,3,2,2,7239.866126108
1,2,3,2,3,3640.651866575
1,2,3,2,4,6802
1,2,3,3,1,4509.198789514
1,2,3,3,2,6664.323556165
1,2,3,3,3,4835.645613814
1,2,3,3,4,4237.527992023
1,2,3,4,1,3451.073366151
1,2,3,4,2,0
1,2,3,4,3,4871.348133425
1,2,3,4,4,0
1,2,3,5,1,6082.965918671
1,2,3,5,2,0
1,2,3,5,3,950
1,2,3,5,4,0
1,2,3,6,1,7194.900609334
1,2,3,6,2,0
1,2,3,6,3,7360.032488664
1,2,3,6,4,0
1,2,4,1,1,4437.320503567
1,2,4,1,2,6940.024904875
1,2,4,1,3,3306
1,2,4,1,4,5706.566410149
1,2,4,2,1,836.326133815
1,2,4,2,2,7244.858144677
1,2,4,2,3,3640.651866575
1,2,4,2,4,6802
1,2,4,3,1,4509.198789514
1,2,4,3,2,6664.323556165
1,2,4,3,3,4835.645613814
1,2,4,3,4,4237.527992023
1,2,4,4,1,3451.073366151
1,2,4,4,2,0
1,2,4,4,3,4871.348133425
1,2,4,4,4,0
1,2,4,5,1,6082.965918671
1,2,4,5,2,0
1,2,4,5,3,950
1,2,4,5,4,0
1,2,4,6,1,7194.900609334
1,2,4,6,2,0
1,2,4,6,3,7365.024507233
1,2,4,6,4,0
1,2,5,1,1,4437.320503567
1,2,5,1,2,6940.024904875
1,2,5,1,3,3306
1,2,5,1,4,5713.336714541
1,2,5,2,1,836.326133815
1,2,5,2,2,7251.628449068
1,2,5,2,3,3640.651866575
1,2,5,2,4,6802
1,2,5,3,1,4509.198789514
1,2,5,3,2,6664.323556165
1,2,5,3,3,4835.645613814
1,2,5,3,4,4237.527992023
1,2,5,4,1,3451.073366151
1,2,5,4,2,0
1,2,5,4,3,4871.348133425
1,2,5,4,4,0
1,2,5,5,1,6082.965918671
1,2,5,5,2,0
1,2,5,5,3,950
1,2,5,5,4,0
1,2,5,6,1,7194.900609334
1,2,5,6,2,0
1,2,5,6,3,7371.794811625
1,2,5,6,4,0
1,2,6,1,1,4437.320503567
1,2,6,1,2,6940.024904875
1,2,6,1,3,3306
1,2,6,1,4,5721.740779538
1,2,6,2,1,836.326133815
1,2,6,2,2,7251.628449068
1,2,6,2,3,3640.651866575
1,2,6,2,4,6802
1,2,6,3,1,4509.198789514
1,2,6,3,2,6664.323556165
1,2,6,3,3,4835.645613814
1,2,6,3,4,4237.527992023
1,2,6,4,1,3451.073366151
1,2,6,4,2,0
1,2,6,4,3,4871.348133425
1,2,6,4,4,0
1,2,6,5,1,6082.965918671
1,2,6,5,2,0
1,2,6,5,3,950
1,2,6,5,4,0
1,2,6,6,1,7194.900609334
1,2,6,6,2,0
1,2,6,6,3,7380.198876622
1,2,6,6,4,0
1,2,7,1,1,4437.320503567
1,2,7,1,2,6940.024904875
1,2,7,1,3,3306
1,2,7,1,4,5727.650018612
1,2,7,2,1,836.326133815
1,2,7,2,2,7257.537688142
1,2,7,2,3,3640.651866575
1,2,7,2,4,6802
1,2,7,3,1,4509.198789514
1,2,7,3,2,6664.323556165
1,2,7,3,3,4835.645613814
1,2,7,3,4,4237.527992023
1,2,7,4,1,3451.073366151
1,2,7,4,2,0
1,2,7,4,3,4871.348133425
1,2,7,4,4,0
1,2,7,5,1,6082.965918671
1,2,7,5,2,0
1,2,7,5,3,950
1,2,7,5,4,0
1,2,7,6,1,7194.900609334
1,2,7,6,2,0
1,2,7,6,3,7386.108115696
1,2,7,6,4,0
1,2,8,1,1,4437.320503567
1,2,8,1,2,6940.024904875
1,2,8,1,3,3306
1,2,8,1,4,5739.667603037
1,2,8,2,1,836.326133815
1,2,8,2,2,7257.537688142
1,2,8,2,3,3640.651866575
1,2,8,2,4,6802
1,2,8,3,1,4509.198789514
1,2,8,3,2,6664.323556165
1,2,8,3,3,4835.645613814
1,2,8,3,4,4237.527992023
1,2,8,4,1,3451.073366151
1,2,8,4,2,0
1,2,8,4,3,4871.348133425
1,2,8,4,4,0
1,2,8,5,1,6082.965918671
1,2,8,5,2,0
1,2,8,5,3,950
1,2,8,5,4,0
1,2,8,6,1,7194.900609334
1,2,8,6,2,0
1,2,8,6,3,7398.12570012
1,2,8,6,4,0
1,2,9,1,1,4437.320503567
1,2,9,1,2,6940.024904875
1,2,9,1,3,3306
1,2,9,1,4,5753.406747029
1,2,9,2,1,836.326133815
1,2,9,2,2,7257.537688142
1,2,9,2,3,3640.651866575
1,2,9,2,4,6802
1,2,9,3,1,4509.198789514
1,2,9,3,2,6664.323556165
1,2,9,3,3,4835.645613814
1,2,9,3,4,4237.527992023
1,2,9,4,1,3451.073366151
1,2,9,4,2,0
1,2,9,4,3,4871.348133425
1,2,9,4,4,0
1,2,9,5,1,6082.965918671
1,2,9,5,2,0
1,2,9,5,3,950
1,2,9,5,4,0
1,2,9,6,1,7194.900609334
1,2,9,6,2,0
1,2,9,6,3,7411.864844112
1,2,9,6,4,0
1,2,10,1,1,5387.320503567
1,2,10,1,2,6940.024904875
1,2,10,1,3,3306
1,2,10,1,4,6703.406747029
1,2,10,2,1,836.326133815
1,2,10,2,2,7257.537688142
1,2,10,2,3,3640.651866575
1,2,10,2,4,7752
1,2,10,3,1,4509.198789514
1,2,10,3,2,6664.323556165
1,2,10,3,3,4835.645613814
1,2,10,3,4,4321.104273766
1,2,10,4,1,3451.073366151
1,2,10,4,2,0
1,2,10,4,3,4871.348133425
1,2,10,4,4,0
1,2,10,5,1,6082.965918671
1,2,10,5,2,0
1,2,10,5,3,950
1,2,10,5,4,0
1,2,10,6,1,7270.900609334
1,2,10,6,2,0
1,2,10,6,3,7924.864844112
1,2,10,6,4,0
1,2,11,1,1,5387.320503567
1,2,11,1,2,6940.024904875
1,2,11,1,3,4256
1,2,11,1,4,6703.406747029
1,2,11,2,1,836.326133815
1,2,11,2,2,7257.537688142
1,2,11,2,3,3640.651866575
1,2,11,2,4,7800.996850312
1,2,11,3,1,4509.198789514
1,2,11,3,2,6664.323556165
1,2,11,3,3,4835.645613814
1,2,11,3,4,4321.104273766
1,2,11,4,1,3964.073366151
1,2,11,4,2,0
1,2,11,4,3,4871.348133425
1,2,11,4,4,0
1,2,11,5,1,6082.965918671
1,2,11,5,2,0
1,2,11,5,3,950
1,2,11,5,4,0
1,2,11,6,1,7270.900609334
1,2,11,6,2,0
1,2,11,6,3,8000.864844112
1,2,11,6,4,0
1,2,12,1,1,5387.320503567
1,2,12,1,2,7673.16566815
1,2,12,1,3,4256
1,2,12,1,4,7092.484211708
1,2,12,2,1,836.326133815
1,2,12,2,2,7257.537688142
1,2,12,2,3,3640.651866575
1,2,12,2,4,7800.996850312
1,2,12,3,1,4509.198789514
1,2,12,3,2,6664.323556165
1,2,12,3,3,4835.645613814
1,2,12,3,4,4321.104273766
1,2,12,4,1,3964.073366151
1,2,12,4,2,0
1,2,12,4,3,4871.348133425
1,2,12,4,4,0
1,2,12,5,1,6082.965918671
1,2,12,5,2,0
1,2,12,5,3,1463
1,2,12,5,4,0
1,2,12,6,1,7270.900609334
1,2,12,6,2,0
1,2,12,6,3,8000.864844112
1,2,12,6,4,0
1,2,13,1,1,6337.320503567
1,2,13,1,2,8186.16566815
1,2,13,1,3,4256
1,2,13,1,4,7092.484211708
1,2,13,2,1,836.326133815
1,2,13,2,2,7257.537688142
1,2,13,2,3,3640.651866575
1,2,13,2,4,8313.996850312
1,2,13,3,1,4585.198789514
1,2,13,3,2,6664.323556165
1,2,13,3,3,4835.645613814
1,2,13,3,4,4321.104273766
1,2,13,4,1,3964.073366151
1,2,13,4,2,0
1,2,13,4,3,4947.348133425
1,2,13,4,4,0
1,2,13,5,1,6082.965918671
1,2,13,5,2,0
1,2,13,5,3,2413
1,2,13,5,4,0
1,2,13,6,1,7270.900609334
1,2,13,6,2,0
1,2,13,6,3,8000.864844112
1,2,13,6,4,0
1,2,14,1,1,7287.320503567
1,2,14,1,2,8186.16566815
1,2,14,1,3,5206
1,2,14,1,4,7092.484211708
1,2,14,2,1,836.326133815
1,2,14,2,2,7257.537688142
1,2,14,2,3,3640.651866575
1,2,14,2,4,8323.546750102
1,2,14,3,1,4585.198789514
1,2,14,3,2,6664.323556165
1,2,14,3,3,4835.645613814
1,2,14,3,4,4321.104273766
1,2,14,4,1,3964.073366151
1,2,14,4,2,0
1,2,14,4,3,5897.348133425
1,2,14,4,4,0
1,2,14,5,1,6158.965918671
1,2,14,5,2,0
1,2,14,5,3,2413
1,2,14,5,4,0
1,2,14,6,1,7270.900609334
1,2,14,6,2,0
1,2,14,6,3,8152.864844112
1,2,14,6,4,0
1,2,15,1,1,7287.320503567
1,2,15,1,2,9136.16566815
1,2,15,1,3,6030.342932194
1,2,15,1,4,7092.484211708
1,2,15,2,1,836.326133815
1,2,15,2,2,7549.936633386
1,2,15,2,3,4590.651866575
1,2,15,2,4,9271.064914925
1,2,15,3,1,4585.198789514
1,2,15,3,2,7426.540274027
1,2,15,3,3,4835.645613814
1,2,15,3,4,4321.104273766
1,2,15,4,1,3964.073366151
1,2,15,4,2,0
1,2,15,4,3,5897.348133425
1,2,15,4,4,0
1,2,15,5,1,6671.965918671
1,2,15,5,2,0
1,2,15,5,3,3363
1,2,15,5,4,0
1,2,15,6,1,7270.900609334
1,2,15,6,2,0
1,2,15,6,3,8152.864844112
1,2,15,6,4,0
1,2,16,1,1,7287.320503567
1,2,16,1,2,9136.16566815
1,2,16,1,3,6980.342932194
1,2,16,1,4,7092.484211708
1,2,16,2,1,836.326133815
1,2,16,2,2,7549.936633386
1,2,16,2,3,4590.651866575
