Stage,Day,Time,Scenario,Value
1,12,8,4,0
1,12,9,1,0
1,12,9,2,0
1,12,9,3,0
1,12,9,4,0
1,12,10,1,0
1,12,10,2,0
1,12,10,3,0
1,12,10,4,0
1,12,11,1,0
1,12,11,2,0
1,12,11,3,0
1,12,11,4,0
1,12,12,1,0
1,12,12,2,0
1,12,12,3,0
1,12,12,4,0
1,12,13,1,0
1,12,13,2,0
1,12,13,3,0
1,12,13,4,0
1,12,14,1,8833.889960375
1,12,14,2,13782.897820349
1,12,14,3,8833.889960375
1,12,14,4,14782.897820349
1,12,15,1,5878.893860537
1,12,15,2,12038.972870499
1,12,15,3,5878.893860537
1,12,15,4,11038.972870499
1,12,16,1,690.767373381
1,12,16,2,6221.426846711
1,12,16,3,690.767373381
1,12,16,4,7663.773072507
1,12,17,1,3355.36222839
1,12,17,2,9680.955354794
1,12,17,3,3355.36222839
1,12,17,4,9458.349645062
1,12,18,1,2548.403798281
1,12,18,2,9452.01534742
1,12,18,3,2548.403798281
1,12,18,4,9358.508789197
1,12,19,1,0
1,12,19,2,6431.58557324
1,12,19,3,0
1,12,19,4,6736.549750797
1,12,20,1,2413.741582299
1,12,20,2,7699.58319717
1,12,20,3,2480.607555816
1,12,20,4,7789.472565449
1,12,21,1,2868.639354314
1,12,21,2,8815.500434409
1,12,21,3,3043.664994487
1,12,21,4,8859.29269075
1,12,22,1,0
1,12,22,2,223.671921325
1,12,22,3,0
1,12,22,4,0
1,12,23,1,0
1,12,23,2,2135.19339646
1,12,23,3,0
1,12,23,4,2026.225024532
1,12,24,1,0
1,12,24,2,768.248859914
1,12,24,3,0
1,12,24,4,715.161704359
1,13,1,1,957.691138994
1,13,1,2,889.284629065
1,13,1,3,957.691138994
1,13,1,4,889.284629065
1,13,2,1,148.96422465
1,13,2,2,138.32392289
1,13,2,3,148.96422465
1,13,2,4,138.32392289
1,13,3,1,150.76898183
1,13,3,2,139.999768842
1,13,3,3,150.76898183
1,13,3,4,139.999768842
1,13,4,1,2127.879595849
1,13,4,2,1975.888196146
1,13,4,3,2127.879595849
1,13,4,4,1975.888196146
1,13,5,1,789.156808846
1,13,5,2,732.788465357
1,13,5,3,789.156808846
1,13,5,4,732.788465357
1,13,6,1,1870.785537744
1,13,6,2,1737.157999334
1,13,6,3,1870.785537744
1,13,6,4,1737.157999334
1,13,7,1,205.86805517
1,13,7,2,191.163194086
1,13,7,3,205.86805517
1,13,7,4,191.163194086
1,13,8,1,1856.118707819
1,13,8,2,1723.538800118
1,13,8,3,1856.118707819
1,13,8,4,1723.538800118
1,13,9,1,3959.271338058
1,13,9,2,3676.466242483
1,13,9,3,3959.271338058
1,13,9,4,3676.466242483
1,13,10,1,1914.342448483
1,13,10,2,1777.603702162
1,13,10,3,1914.342448483
1,13,10,4,1777.603702162
1,13,11,1,1508.90534821
1,13,11,2,1401.126394766
1,13,11,3,1508.90534821
1,13,11,4,1401.126394766
1,13,12,1,3688.799034626
1,13,12,2,3425.313389296
1,13,12,3,3688.799034626
1,13,12,4,3425.313389296
1,13,13,1,5582.979811041
1,13,13,2,5184.195538824
1,13,13,3,5582.979811041
1,13,13,4,5184.195538824
1,13,14,1,12406.927221124
1,13,14,2,11520.718133901
1,13,14,3,12406.927221124
1,13,14,4,11520.718133901
1,13,15,1,13010.442588227
1,13,15,2,12081.125260497
1,13,15,3,13010.442588227
1,13,15,4,12081.125260497
1,13,16,1,15343.675493826
1,13,16,2,14247.698672839
1,13,16,3,15343.675493826
1,13,16,4,14247.698672839
1,13,17,1,12499.245194979
1,13,17,2,11606.441966766
1,13,17,3,12499.245194979
1,13,17,4,11606.441966766
1,13,18,1,14096.850037057
1,13,18,2,13089.932177267
1,13,18,3,14096.850037057
1,13,18,4,13089.932177267
1,13,19,1,13617.099034297
1,13,19,2,12644.449103276
1,13,19,3,13617.099034297
1,13,19,4,12644.449103276
1,13,20,1,8656.846965532
1,13,20,2,8038.500753708
1,13,20,3,8656.846965532
1,13,20,4,8038.500753708
1,13,21,1,10029.035238002
1,13,21,2,9312.675578145
1,13,21,3,10029.035238002
1,13,21,4,9312.675578145
1,13,22,1,306.290653766
1,13,22,2,284.412749926
1,13,22,3,306.290653766
1,13,22,4,284.412749926
1,13,23,1,685.309699181
1,13,23,2,636.359006382
1,13,23,3,685.309699181
1,13,23,4,636.359006382
1,13,24,1,610.513783432
1,13,24,2,566.905656044
1,13,24,3,610.513783432
1,13,24,4,566.905656044
1,14,1,1,0
1,14,1,2,0
1,14,1,3,0
1,14,1,4,54.186659927
1,14,2,1,0
1,14,2,2,0
1,14,2,3,0
1,14,2,4,0
1,14,3,1,0
1,14,3,2,1715.122558114
1,14,3,3,0
1,14,3,4,1933.30075014
1,14,4,1,0
1,14,4,2,260.535364953
1,14,4,3,0
1,14,4,4,366.827304658
1,14,5,1,0
1,14,5,2,1120.87594062
1,14,5,3,0
1,14,5,4,1172.659193296
1,14,6,1,0
1,14,6,2,364.627314866
1,14,6,3,0
1,14,6,4,389.85505335
1,14,7,1,0
1,14,7,2,538.181048203
1,14,7,3,0
1,14,7,4,550.4714849
1,14,8,1,0
1,14,8,2,0
1,14,8,3,0
1,14,8,4,0
1,14,9,1,0
1,14,9,2,0
1,14,9,3,0
1,14,9,4,0
1,14,10,1,0
1,14,10,2,0
1,14,10,3,0
1,14,10,4,854.580197053
1,14,11,1,0
1,14,11,2,0
1,14,11,3,0
1,14,11,4,0
1,14,12,1,0
1,14,12,2,0
1,14,12,3,0
1,14,12,4,0
1,14,13,1,0
1,14,13,2,0
1,14,13,3,0
1,14,13,4,281.993724241
1,14,14,1,3481.466610253
1,14,14,2,7692.194175577
1,14,14,3,3481.466610253
1,14,14,4,9234.479632686
1,14,15,1,5575.010576194
1,14,15,2,10364.710183335
1,14,15,3,5582.013369786
1,14,15,4,11393.003098337
1,14,16,1,2802.857365182
1,14,16,2,8145.483480943
1,14,16,3,5883.192059497
1,14,16,4,8923.369772867
1,14,17,1,1759.206185124
1,14,17,2,7349.286396682
1,14,17,3,6336.805138764
1,14,17,4,8005.179718389
1,14,18,1,3757.014234503
1,14,18,2,9288.630898691
1,14,18,3,9064.049622174
1,14,18,4,9885.091747727
1,14,19,1,1416.721842309
1,14,19,2,5775.896139812
1,14,19,3,5592.275601505
1,14,19,4,6343.402707292
1,14,20,1,4407.129927346
1,14,20,2,6497.46903985
1,14,20,3,6441.374066442
1,14,20,4,7024.752436764
1,14,21,1,6714.280725299
1,14,21,2,9162.661592782
1,14,21,3,7705.322741781
1,14,21,4,9533.072555917
1,14,22,1,0
1,14,22,2,1115.067684144
1,14,22,3,165.500721261
1,14,22,4,1118.248242588
1,14,23,1,746.146756796
1,14,23,2,2007.480809651
1,14,23,3,1144.089933409
1,14,23,4,2009.030312483
1,14,24,1,538.768830009
1,14,24,2,1617.489090207
1,14,24,3,732.638582718
1,14,24,4,1618.243976202
1,15,1,1,718.278192568
1,15,1,2,1434.251884476
1,15,1,3,918.544754538
1,15,1,4,1434.664269309
1,15,2,1,364.0938687
1,15,2,2,1045.58085309
1,15,2,3,750.094509284
1,15,2,4,1045.655819205
1,15,3,1,1813.271926652
1,15,3,2,2059.251662613
1,15,3,3,1949.083059274
1,15,3,4,2059.288184567
1,15,4,1,40.97465623
1,15,4,2,811.575000042
1,15,4,3,383.847010669
1,15,4,4,811.592792789
1,15,5,1,0
1,15,5,2,455.219475062
1,15,5,3,280.55500014
1,15,5,4,455.228143323
1,15,6,1,0
1,15,6,2,205.444275574
1,15,6,3,0
1,15,6,4,205.448498573
1,15,7,1,0
1,15,7,2,308.426670967
1,15,7,3,0
1,15,7,4,308.436416107
1,15,8,1,0
1,15,8,2,0
1,15,8,3,0
1,15,8,4,0
1,15,9,1,0
1,15,9,2,0
1,15,9,3,0
1,15,9,4,53.294371355
1,15,10,1,0
1,15,10,2,0
1,15,10,3,0
1,15,10,4,0
1,15,11,1,0
1,15,11,2,0
1,15,11,3,0
1,15,11,4,0
1,15,12,1,0
1,15,12,2,0
1,15,12,3,0
1,15,12,4,0
1,15,13,1,0
1,15,13,2,0
1,15,13,3,0
1,15,13,4,394.815497355
1,15,14,1,10198.629226099
1,15,14,2,9778.714723623
1,15,14,3,10198.629226099
1,15,14,4,10064.773778621
1,15,15,1,10953.339595702
1,15,15,2,10675.040693086
1,15,15,3,10953.339595702
1,15,15,4,11306.303749935
1,15,16,1,8867.590275884
1,15,16,2,10109.289870782
1,15,16,3,8024.646783731
1,15,16,4,10865.721145034
1,15,17,1,7873.111108533
1,15,17,2,8988.041698975
1,15,17,3,7873.111108533
1,15,17,4,9462.180704496
1,15,18,1,9112.383772218
1,15,18,2,10224.410352526
1,15,18,3,9112.383772218
1,15,18,4,10708.034398107
1,15,19,1,5525.632342883
1,15,19,2,7753.697590575
1,15,19,3,5551.962935645
1,15,19,4,8147.172266119
1,15,20,1,9234.811336086
1,15,20,2,12069.483117827
1,15,20,3,9937.545618672
1,15,20,4,12230.158992492
1,15,21,1,6219.947968514
1,15,21,2,9660.707167095
1,15,21,3,7163.828504856
1,15,21,4,9657.709846434
1,15,22,1,0
1,15,22,2,657.903883808
1,15,22,3,0
1,15,22,4,656.443650665
1,15,23,1,1373.216966543
1,15,23,2,1711.864132529
1,15,23,3,1323.490786474
1,15,23,4,1711.152736896
1,15,24,1,878.24674986
1,15,24,2,2245.514839156
1,15,24,3,2068.264405372
