Stage,Day,Time,Scenario,Value
1,4,22,1,0
1,4,22,2,0
1,4,22,3,0
1,4,22,4,0
1,4,23,1,0
1,4,23,2,0
1,4,23,3,0
1,4,23,4,0
1,4,24,1,0
1,4,24,2,0
1,4,24,3,0
1,4,24,4,0
1,5,1,1,0
1,5,1,2,0
1,5,1,3,0
1,5,1,4,0
1,5,2,1,0
1,5,2,2,0
1,5,2,3,0
1,5,2,4,0
1,5,3,1,0
1,5,3,2,0
1,5,3,3,0
1,5,3,4,0
1,5,4,1,0
1,5,4,2,0
1,5,4,3,0
1,5,4,4,0
1,5,5,1,0
1,5,5,2,0
1,5,5,3,0
1,5,5,4,0
1,5,6,1,0
1,5,6,2,0
1,5,6,3,0
1,5,6,4,0
1,5,7,1,0
1,5,7,2,0
1,5,7,3,0
1,5,7,4,0
1,5,8,1,0
1,5,8,2,0
1,5,8,3,0
1,5,8,4,0
1,5,9,1,0
1,5,9,2,0
1,5,9,3,0
1,5,9,4,0
1,5,10,1,793.878502284
1,5,10,2,0
1,5,10,3,768.669053665
1,5,10,4,0
1,5,11,1,780.760545378
1,5,11,2,0
1,5,11,3,755.967654783
1,5,11,4,0
1,5,12,1,844.164671308
1,5,12,2,0
1,5,12,3,817.358395729
1,5,12,4,0
1,5,13,1,3.933526761
1,5,13,2,0
1,5,13,3,3.808618428
1,5,13,4,0
1,5,14,1,379.032107167
1,5,14,2,0
1,5,14,3,366.996020532
1,5,14,4,0
1,5,15,1,823.779536258
1,5,15,2,0
1,5,15,3,797.620586452
1,5,15,4,0
1,5,16,1,516.688934754
1,5,16,2,0
1,5,16,3,500.281583861
1,5,16,4,0
1,5,17,1,923.029541139
1,5,17,2,0
1,5,17,3,1092.862009451
1,5,17,4,0
1,5,18,1,0
1,5,18,2,0
1,5,18,3,0
1,5,18,4,0
1,5,19,1,0
1,5,19,2,0
1,5,19,3,0
1,5,19,4,0
1,5,20,1,0
1,5,20,2,0
1,5,20,3,0
1,5,20,4,0
1,5,21,1,0
1,5,21,2,0
1,5,21,3,0
1,5,21,4,0
1,5,22,1,0
1,5,22,2,0
1,5,22,3,0
1,5,22,4,0
1,5,23,1,0
1,5,23,2,0
1,5,23,3,0
1,5,23,4,0
1,5,24,1,0
1,5,24,2,0
1,5,24,3,0
1,5,24,4,0
1,6,1,1,0
1,6,1,2,0
1,6,1,3,0
1,6,1,4,0
1,6,2,1,0
1,6,2,2,0
1,6,2,3,0
1,6,2,4,0
1,6,3,1,0
1,6,3,2,0
1,6,3,3,0
1,6,3,4,0
1,6,4,1,0
1,6,4,2,0
1,6,4,3,0
1,6,4,4,0
1,6,5,1,0
1,6,5,2,0
1,6,5,3,0
1,6,5,4,0
1,6,6,1,0
1,6,6,2,0
1,6,6,3,0
1,6,6,4,0
1,6,7,1,0
1,6,7,2,0
1,6,7,3,0
1,6,7,4,0
1,6,8,1,0
1,6,8,2,0
1,6,8,3,0
1,6,8,4,0
1,6,9,1,4000
1,6,9,2,3333.333333333
1,6,9,3,4000
1,6,9,4,2666.666666667
1,6,10,1,4000
1,6,10,2,3333.333333333
1,6,10,3,4000
1,6,10,4,2666.666666667
1,6,11,1,4000
1,6,11,2,3333.333333333
1,6,11,3,4000
1,6,11,4,2666.666666667
1,6,12,1,4000
1,6,12,2,3333.333333333
1,6,12,3,4000
1,6,12,4,2666.666666667
1,6,13,1,4000
1,6,13,2,3333.333333333
1,6,13,3,4000
1,6,13,4,2666.666666667
1,6,14,1,4000
1,6,14,2,3333.333333333
1,6,14,3,4000
1,6,14,4,2666.666666667
1,6,15,1,4000
1,6,15,2,3333.333333333
1,6,15,3,4000
1,6,15,4,2666.666666667
1,6,16,1,4000
1,6,16,2,3333.333333333
1,6,16,3,4000
1,6,16,4,2666.666666667
1,6,17,1,4000
1,6,17,2,3333.333333333
1,6,17,3,4000
1,6,17,4,2666.666666667
1,6,18,1,4000
1,6,18,2,3333.333333333
1,6,18,3,4000
1,6,18,4,2666.666666667
1,6,19,1,0
1,6,19,2,0
1,6,19,3,0
1,6,19,4,0
1,6,20,1,0
1,6,20,2,0
1,6,20,3,0
1,6,20,4,0
1,6,21,1,0
1,6,21,2,0
1,6,21,3,0
1,6,21,4,0
1,6,22,1,0
1,6,22,2,0
1,6,22,3,0
1,6,22,4,0
1,6,23,1,0
1,6,23,2,0
1,6,23,3,0
1,6,23,4,0
1,6,24,1,0
1,6,24,2,0
1,6,24,3,0
1,6,24,4,0
1,7,1,1,0
1,7,1,2,0
1,7,1,3,0
1,7,1,4,0
1,7,2,1,0
1,7,2,2,0
1,7,2,3,0
1,7,2,4,0
1,7,3,1,0
1,7,3,2,0
1,7,3,3,0
1,7,3,4,0
1,7,4,1,0
1,7,4,2,0
1,7,4,3,0
1,7,4,4,0
1,7,5,1,0
1,7,5,2,0
1,7,5,3,0
1,7,5,4,0
1,7,6,1,0
1,7,6,2,0
1,7,6,3,0
1,7,6,4,0
1,7,7,1,0
1,7,7,2,0
1,7,7,3,0
1,7,7,4,0
1,7,8,1,0
1,7,8,2,0
1,7,8,3,0
1,7,8,4,0
1,7,9,1,4000
1,7,9,2,302.192535416
1,7,9,3,4000
1,7,9,4,0
1,7,10,1,3730.967749248
1,7,10,2,0
1,7,10,3,3612.491635453
1,7,10,4,0
1,7,11,1,3451.011257286
1,7,11,2,0
1,7,11,3,3341.425104334
1,7,11,4,0
1,7,12,1,4000
1,7,12,2,0
1,7,12,3,3896.088965596
1,7,12,4,0
1,7,13,1,3601.031977454
1,7,13,2,730.911188708
1,7,13,3,4000
1,7,13,4,142.863017244
1,7,14,1,4000
1,7,14,2,6.367866509
1,7,14,3,4000
1,7,14,4,0
1,7,15,1,3967.387065999
1,7,15,2,0
1,7,15,3,3841.403505408
1,7,15,4,0
1,7,16,1,3927.019050364
1,7,16,2,0
1,7,16,3,3802.31736781
1,7,16,4,0
1,7,17,1,2519.612031293
1,7,17,2,0
1,7,17,3,2439.602269268
1,7,17,4,0
1,7,18,1,4000
1,7,18,2,0
1,7,18,3,3905.195365802
1,7,18,4,0
1,7,19,1,0
1,7,19,2,0
1,7,19,3,0
1,7,19,4,0
1,7,20,1,0
1,7,20,2,0
1,7,20,3,0
1,7,20,4,0
1,7,21,1,0
1,7,21,2,0
1,7,21,3,0
1,7,21,4,0
1,7,22,1,0
1,7,22,2,0
1,7,22,3,0
1,7,22,4,0
1,7,23,1,0
1,7,23,2,0
1,7,23,3,0
1,7,23,4,0
1,7,24,1,0
1,7,24,2,0
1,7,24,3,0
1,7,24,4,0
1,8,1,1,0
1,8,1,2,0
1,8,1,3,0
1,8,1,4,0
1,8,2,1,0
1,8,2,2,0
1,8,2,3,0
1,8,2,4,0
1,8,3,1,0
1,8,3,2,0
1,8,3,3,0
1,8,3,4,0
1,8,4,1,0
1,8,4,2,0
1,8,4,3,0
1,8,4,4,0
1,8,5,1,0
1,8,5,2,0
1,8,5,3,0
1,8,5,4,0
1,8,6,1,0
1,8,6,2,0
1,8,6,3,0
1,8,6,4,0
1,8,7,1,0
1,8,7,2,0
1,8,7,3,0
1,8,7,4,0
1,8,8,1,0
1,8,8,2,0
1,8,8,3,0
1,8,8,4,0
1,8,9,1,1490.117534664
1,8,9,2,0
1,8,9,3,1442.799158717
1,8,9,4,0
1,8,10,1,995.057793702
1,8,10,2,0
1,8,10,3,963.459938045
1,8,10,4,0
1,8,11,1,363.619565003
1,8,11,2,0
1,8,11,3,352.072900476
1,8,11,4,0
1,8,12,1,1869.319703913
1,8,12,2,0
1,8,12,3,1809.959841045
1,8,12,4,0
1,8,13,1,1058.863847797
1,8,13,2,0
1,8,13,3,1025.239844011
1,8,13,4,0
1,8,14,1,756.533149859
1,8,14,2,0
1,8,14,3,732.509595228
1,8,14,4,0
1,8,15,1,2228.413235833
1,8,15,2,0
1,8,15,3,2649.151116532
1,8,15,4,0
1,8,16,1,245.202746012
1,8,16,2,0
1,8,16,3,237.416383226
1,8,16,4,0
1,8,17,1,2074.831671355
1,8,17,2,0
1,8,17,3,2008.945818214
1,8,17,4,0
1,8,18,1,893.129375413
1,8,18,2,0
1,8,18,3,864.768235723
1,8,18,4,0
1,8,19,1,0
1,8,19,2,0
1,8,19,3,0
1,8,19,4,0
1,8,20,1,0
1,8,20,2,0
1,8,20,3,0
1,8,20,4,0
1,8,21,1,0
1,8,21,2,0
1,8,21,3,0
1,8,21,4,0
1,8,22,1,0
1,8,22,2,0
1,8,22,3,0
1,8,22,4,0
1,8,23,1,0
1,8,23,2,0
1,8,23,3,0
1,8,23,4,0
1,8,24,1,0
1,8,24,2,0
1,8,24,3,0
1,8,24,4,0
1,9,1,1,0
1,9,1,2,0
1,9,1,3,0
1,9,1,4,0
1,9,2,1,0
1,9,2,2,0
1,9,2,3,0
1,9,2,4,0
1,9,3,1,0
1,9,3,2,0
1,9,3,3,0
1,9,3,4,0
1,9,4,1,0
1,9,4,2,0
1,9,4,3,0
1,9,4,4,0
1,9,5,1,0
1,9,5,2,0
1,9,5,3,0
1,9,5,4,0
1,9,6,1,0
1,9,6,2,0
1,9,6,3,0
1,9,6,4,0
1,9,7,1,0
1,9,7,2,0
1,9,7,3,0
1,9,7,4,0
1,9,8,1,0
1,9,8,2,0
1,9,8,3,0
1,9,8,4,0
1,9,9,1,109.683514637
1,9,9,2,0
1,9,9,3,106.200537181
1,9,9,4,0
1,9,10,1,583.950062938
1,9,10,2,0
1,9,10,3,763.64145996
1,9,10,4,0
1,9,11,1,1392.61324802
1,9,11,2,0
1,9,11,3,1348.391100649
1,9,11,4,0
1,9,12,1,2620.094448324
1,9,12,2,0
1,9,12,3,2536.893887806
1,9,12,4,0
1,9,13,1,1250.270771509
1,9,13,2,0
1,9,13,3,1210.568680214
1,9,13,4,0
1,9,14,1,1380.799542409
1,9,14,2,0
1,9,14,3,1930.571091319
1,9,14,4,0
1,9,15,1,744.998785361
1,9,15,2,0
1,9,15,3,721.341502103
1,9,15,4,0
1,9,16,1,467.885505618
1,9,16,2,0
1,9,16,3,453.027897584
1,9,16,4,0
1,9,17,1,173.528137908
1,9,17,2,0
1,9,17,3,1485.066531154
1,9,17,4,0
1,9,18,1,731.265281732
1,9,18,2,0
1,9,18,3,708.044103058
1,9,18,4,0
1,9,19,1,0
1,9,19,2,0
1,9,19,3,0
1,9,19,4,0
1,9,20,1,0
1,9,20,2,0
1,9,20,3,0
1,9,20,4,0
1,9,21,1,0
1,9,21,2,0
1,9,21,3,0
1,9,21,4,0
1,9,22,1,0
1,9,22,2,0
1,9,22,3,0
1,9,22,4,0
1,9,23,1,0
1,9,23,2,0
1,9,23,3,0
1,9,23,4,0
1,9,24,1,0
1,9,24,2,0
1,9,24,3,0
1,9,24,4,0
1,10,1,1,0
1,10,1,2,0
1,10,1,3,0
1,10,1,4,0
1,10,2,1,0
1,10,2,2,0
1,10,2,3,0
1,10,2,4,0
1,10,3,1,0
1,10,3,2,0
1,10,3,3,0
1,10,3,4,0
1,10,4,1,0
1,10,4,2,0
1,10,4,3,0
1,10,4,4,0
1,10,5,1,0
1,10,5,2,0
1,10,5,3,0
1,10,5,4,0
1,10,6,1,0
1,10,6,2,0
1,10,6,3,0
1,10,6,4,0
