Stage,Day,Time,Supplier,Scenario,Value
1,2,18,6,2,0
1,2,18,6,3,0
1,2,18,6,4,0
1,2,19,1,1,0
1,2,19,1,2,0
1,2,19,1,3,0
1,2,19,1,4,0
1,2,19,2,1,0
1,2,19,2,2,0
1,2,19,2,3,0
1,2,19,2,4,0
1,2,19,3,1,0
1,2,19,3,2,0
1,2,19,3,3,0
1,2,19,3,4,0
1,2,19,4,1,0
1,2,19,4,2,0
1,2,19,4,3,0
1,2,19,4,4,0
1,2,19,5,1,0
1,2,19,5,2,0
1,2,19,5,3,0
1,2,19,5,4,0
1,2,19,6,1,0
1,2,19,6,2,0
1,2,19,6,3,0
1,2,19,6,4,0
1,2,20,1,1,0
1,2,20,1,2,0
1,2,20,1,3,0
1,2,20,1,4,0
1,2,20,2,1,0
1,2,20,2,2,0
1,2,20,2,3,0
1,2,20,2,4,0
1,2,20,3,1,0
1,2,20,3,2,0
1,2,20,3,3,0
1,2,20,3,4,0
1,2,20,4,1,0
1,2,20,4,2,0
1,2,20,4,3,0
1,2,20,4,4,0
1,2,20,5,1,0
1,2,20,5,2,0
1,2,20,5,3,0
1,2,20,5,4,0
1,2,20,6,1,0
1,2,20,6,2,0
1,2,20,6,3,0
1,2,20,6,4,0
1,2,21,1,1,0
1,2,21,1,2,0
1,2,21,1,3,0
1,2,21,1,4,0
1,2,21,2,1,0
1,2,21,2,2,0
1,2,21,2,3,0
1,2,21,2,4,0
1,2,21,3,1,0
1,2,21,3,2,0
1,2,21,3,3,0
1,2,21,3,4,0
1,2,21,4,1,0
1,2,21,4,2,0
1,2,21,4,3,0
1,2,21,4,4,0
1,2,21,5,1,0
1,2,21,5,2,0
1,2,21,5,3,0
1,2,21,5,4,0
1,2,21,6,1,0
1,2,21,6,2,0
1,2,21,6,3,0
1,2,21,6,4,0
1,2,22,1,1,0
1,2,22,1,2,0
1,2,22,1,3,0
1,2,22,1,4,0
1,2,22,2,1,0
1,2,22,2,2,0
1,2,22,2,3,0
1,2,22,2,4,0
1,2,22,3,1,0
1,2,22,3,2,0
1,2,22,3,3,0
1,2,22,3,4,0
1,2,22,4,1,0
1,2,22,4,2,0
1,2,22,4,3,0
1,2,22,4,4,0
1,2,22,5,1,0
1,2,22,5,2,0
1,2,22,5,3,0
1,2,22,5,4,0
1,2,22,6,1,0
1,2,22,6,2,0
1,2,22,6,3,0
1,2,22,6,4,0
1,2,23,1,1,0
1,2,23,1,2,0
1,2,23,1,3,0
1,2,23,1,4,0
1,2,23,2,1,0
1,2,23,2,2,0
1,2,23,2,3,0
1,2,23,2,4,0
1,2,23,3,1,0
1,2,23,3,2,0
1,2,23,3,3,0
1,2,23,3,4,0
1,2,23,4,1,0
1,2,23,4,2,0
1,2,23,4,3,0
1,2,23,4,4,0
1,2,23,5,1,0
1,2,23,5,2,0
1,2,23,5,3,0
1,2,23,5,4,0
1,2,23,6,1,0
1,2,23,6,2,0
1,2,23,6,3,0
1,2,23,6,4,0
1,2,24,1,1,0
1,2,24,1,2,0
1,2,24,1,3,0
1,2,24,1,4,0
1,2,24,2,1,0
1,2,24,2,2,0
1,2,24,2,3,0
1,2,24,2,4,0
1,2,24,3,1,0
1,2,24,3,2,0
1,2,24,3,3,0
1,2,24,3,4,0
1,2,24,4,1,0
1,2,24,4,2,0
1,2,24,4,3,0
1,2,24,4,4,0
1,2,24,5,1,0
1,2,24,5,2,0
1,2,24,5,3,0
1,2,24,5,4,0
1,2,24,6,1,0
1,2,24,6,2,0
1,2,24,6,3,0
1,2,24,6,4,0
1,3,1,1,1,0
1,3,1,1,2,0
1,3,1,1,3,0
1,3,1,1,4,0
1,3,1,2,1,0
1,3,1,2,2,0
